Lead No,Party Name,Lead Type,Entry Date,S.C.,S. E.,Current Stage,Current Status,Next Action,Inactive Days,Last Activity
Comp - 138,AGARWAL HEAVY ENGINEERING ENTERPRISES,Golden,11/20/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 139,PIONEER ENERGY HOLDINGS LLP,Not Ment.,11/20/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 34,INFINITY FOUNDRIES INDUSTRIES,Golden,11/20/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 150,NEXUS LLP,Not Ment.,11/20/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 147,COSMOS STEELS GROUP LLP,Not Ment.,11/20/2024,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,230,To be calculated
Comp - 149,TECHNO WIRE ROPES HOLDINGS PVT. LTD.,Not Ment.,11/20/2024,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,Inactive,No upcoming action,506,To be calculated
Comp - 63,VECTOR SMELTERS LLP,Golden,11/22/2024,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 15,LUMINA METALS LTD.,Golden,11/22/2024,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 154,WESTERN PVT. LTD.,Golden,11/22/2024,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,198,To be calculated
Comp - 125,RATHI POWER & STEEL HOLDINGS LLP,Not Ment.,11/22/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 123,MEHTA ALLOYS INDIA LTD.,Not Ment.,11/22/2024,Not Assigned,Not Assigned,Proposal to order,Inactive,No upcoming action,434,To be calculated
Comp - 155,OMEGA PVT. LTD.,Not Ment.,11/22/2024,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 116,OMEGA PRODUCTS ENTERPRISES,Not Ment.,11/22/2024,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 142,ZENITH ROLLING MILLS INDIA LTD.,Not Ment.,11/22/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 140,GUPTA SMELTERS LLP,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 156,MALHOTRA HEAVY ENGINEERING LLP,Golden,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 157,LUMINA TUBES PVT. LTD.,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 110,SINGHANIA CORPORATION,Golden,11/23/2024,Sales Coord. 1,Sales Exec. 1,Proposal to order,Inactive,No upcoming action,158,To be calculated
Comp - 130,NEXUS ISPAT CORPORATION,Golden,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 75,GLOBAL PVT. LTD.,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 27,INDUS METALS VENTURES ENTERPRISES,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 28,CORE FOUNDRIES INDUSTRIES,Golden,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 24,PINNACLE METALLURGICAL CORPORATION,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 21,BANSAL METALLURGICAL INDUSTRIES,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 38,TECHNO LLP,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,Inactive,No upcoming action,408,To be calculated
Comp - 69,ANCHOR CASTINGS VENTURES LLP,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 158,INFINITY LLP,Not Ment.,11/23/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 159,HERITAGE CASTINGS INDIA LTD.,Golden,11/25/2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 160,GUPTA STRIPS GROUP INDIA LTD.,Golden,11/28/2024,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 168,STERLING PROFILES VENTURES LLP,Golden,12-02-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 128,IMPACT CORPORATION,Golden,12-06-2024,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 33,TITAN IRON & STEEL VENTURES PVT. LTD.,Golden,12-10-2024,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 170,MEHTA INDIA LTD.,Golden,12-10-2024,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 171,SUPREME WIRE ROPES PVT. LTD.,Golden,12-10-2024,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 172,KARAN CORPORATION,Not Ment.,12-10-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 174,PHOENIX STEEL LTD.,Not Ment.,12/19/2024,Not Assigned,Not Assigned,Meeting,Inactive,No upcoming action,468,To be calculated
Comp - 179,RADIANT STEELS HOLDINGS ENTERPRISES,Not Ment.,01-07-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,Inactive,No upcoming action,337,To be calculated
Comp - 49,JINDAL CASTINGS LLP,Golden,1/15/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 19,DELTA STEELS INDUSTRIES,Golden,1/24/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 266,MEHTA INFRASTRUCTURE VENTURES ENTERPRISES,Not Ment.,1/24/2025 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 270,CENTURY LLP,Not Ment.,1/31/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 267,ZENITH LTD.,Not Ment.,1/31/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 268,IMPACT WIRE ROPES PVT. LTD.,Not Ment.,1/31/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 222,REGAL METALLURGICAL INDIA LTD.,Golden,1/31/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 72,RADIANT INDIA LTD.,Golden,02-03-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 264,GOEL STEELS LLP,Golden,02-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 53,UNIQUE ISPAT LTD.,Golden,02-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 59,VANGUARD MINERALS LLP,Golden,02-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 262,TITAN POWER & STEEL HOLDINGS ENTERPRISES,Golden,02-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 272,VANGUARD METALIKS CORPORATION,Golden,02-05-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 277,HERITAGE POWER & STEEL ENTERPRISES,Not Ment.,02-09-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 274,SHRIRAM PROFILES VENTURES ENTERPRISES,Not Ment.,02-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 71,EMINENT STEELS INDUSTRIES,Golden,02-12-2025,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 80,WESTERN MINERALS CORPORATION,Not Ment.,2/13/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 87,TITAN HEAVY ENGINEERING CORPORATION,Golden,2/13/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 94,OASIS METALS CORPORATION,Golden,2/13/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 89,SHRIRAM ENERGY CORPORATION,Not Ment.,2/13/2025 ,Sales Coord. 3,Sales Exec. 2,Meeting,Inactive,No upcoming action,457,To be calculated
Comp - 165,GOEL MINERALS HOLDINGS INDUSTRIES,Golden,2/13/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 278,APEX MINERALS INDIA LTD.,Golden,2/13/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 280,ORION ROLLING MILLS CORPORATION,Golden,2/13/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 281,NATIONAL METALS LTD.,Not Ment.,2/13/2025 ,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,48,To be calculated
Comp - 282,ORION CORPORATION,Golden,2/13/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 290,UNITED ROLLING MILLS HOLDINGS CORPORATION,Not Ment.,2/15/2025 ,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 293,STERLING HEAVY ENGINEERING PVT. LTD.,Not Ment.,2/17/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 111,SINGHANIA INFRASTRUCTURE GROUP PVT. LTD.,Not Ment.,2/17/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 287,STERLING INDUSTRIES,Not Ment.,2/18/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 295,BAJAJ HEAVY ENGINEERING VENTURES LLP,Not Ment.,2/18/2025 ,Sales Coord. 2,Sales Exec. 1,Proposal to order,Inactive,No upcoming action,414,To be calculated
Comp - 7,MEHTA PROFILES GROUP CORPORATION,Not Ment.,2/19/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 283,RATHI TUBES VENTURES INDUSTRIES,Golden,2/19/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 5,ELECTRO STRIPS PVT. LTD.,Not Ment.,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 20,ANCHOR PRODUCTS GROUP CORPORATION,Not Ment.,2/21/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 106,SHARMA IRON & STEEL INDUSTRIES,Golden,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 131,SUPREME METALS INDIA LTD.,Not Ment.,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 273,ZENITH METALS VENTURES PVT. LTD.,Golden,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 285,VECTOR STEELS GROUP LLP,Not Ment.,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 77,SINGHANIA STRUCTURES CORPORATION,Not Ment.,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 291,NATIONAL METALLURGICAL ENTERPRISES,Golden,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 292,HORIZON INFRASTRUCTURE INDIA LTD.,Not Ment.,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 90,UNITED ALLOYS LLP,Not Ment.,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 113,RATHI FERRO ALLOYS GROUP LLP,Golden,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 118,JINDAL METALIKS VENTURES CORPORATION,Not Ment.,2/21/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 202,VANGUARD MINERALS ENTERPRISES,Not Ment.,2/21/2025 ,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 783,INDUS MINERALS INDIA LTD.,Golden,2/21/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 288,IMPACT STEELS HOLDINGS ENTERPRISES,Not Ment.,2/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 45,OMEGA INDUSTRIES,Golden,2/21/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 14,NATIONAL STEEL LLP,Not Ment.,2/21/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 64,BAJAJ CORPORATION,Not Ment.,2/21/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 83,EMINENT PROFILES PVT. LTD.,Not Ment.,2/21/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 337,BANSAL METALS INDIA LTD.,Golden,2/22/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 41,MITTAL FASTENERS GROUP LLP,Golden,03-06-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 411,ELECTRO HEAVY ENGINEERING INDUSTRIES,Not Ment.,03-06-2025,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,235,To be calculated
Comp - 727,JINDAL ISPAT VENTURES ENTERPRISES,Not Ment.,3/27/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 745,CORE ROLLING MILLS GROUP INDUSTRIES,Golden,04-07-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 908,GOEL METALIKS HOLDINGS ENTERPRISES,Golden,04-08-2025,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,48,To be calculated
Comp - 907,DYNAMIC METALLURGICAL VENTURES INDUSTRIES,Golden,04-08-2025,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 369,MEHTA METALIKS VENTURES LLP,Golden,04-08-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 368,NEXUS SPONGE IRON VENTURES INDUSTRIES,Not Ment.,04-08-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 793,EMINENT STRUCTURES PVT. LTD.,Not Ment.,04-08-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 909,SUPREME ISPAT INDIA LTD.,Not Ment.,04-12-2025,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 334,BAJAJ PROFILES GROUP INDUSTRIES,Golden,4/15/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 910,SINGHANIA LLP,Not Ment.,4/15/2025 ,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 440,PIONEER CASTINGS INDIA LTD.,Not Ment.,4/15/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 911,MEHTA LTD.,Not Ment.,4/15/2025 ,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,235,To be calculated
Comp - 675,TECHNO ENTERPRISES,Not Ment.,4/16/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,Inactive,No upcoming action,154,To be calculated
Comp - 102,DYNAMIC INDIA LTD.,Not Ment.,4/17/2025 ,Sales Coord. 2,Sales Exec. 1,First call,Inactive,No upcoming action,57,To be calculated
Comp - 276,QUANTUM ALLOYS GROUP CORPORATION,Golden,4/17/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 166,CORE WIRE ROPES ENTERPRISES,Not Ment.,4/19/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 51,TRITON FERRO ALLOYS PVT. LTD.,Golden,4/19/2025 ,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 10,BAJAJ ISPAT ENTERPRISES,Golden,4/21/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 912,CENTURY HEAVY ENGINEERING PVT. LTD.,Not Ment.,4/22/2025 ,Sales Coord. 2,Sales Exec. 1,First call,Inactive,No upcoming action,57,To be calculated
Comp - 351,EGIS STRUCTURES LLP,Not Ment.,4/23/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,"First call, Inquiry Followups",0,To be calculated
Comp - 408,WESTERN LTD.,Golden,4/25/2025 ,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 916,EGIS MINERALS HOLDINGS INDIA LTD.,Golden,4/29/2025 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 169,EGIS INFRASTRUCTURE HOLDINGS ENTERPRISES,Golden,05-01-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 740,NEXUS WIRE ROPES GROUP PVT. LTD.,Not Ment.,05-02-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 43,MITTAL TUBES ENTERPRISES,Not Ment.,05-02-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 889,PINNACLE MINERALS GROUP LTD.,Golden,05-02-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 890,APEX ROLLING MILLS VENTURES INDIA LTD.,Not Ment.,05-02-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 61,MALHOTRA ISPAT INDUSTRIES,Not Ment.,05-02-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 236,OMEGA STEELS HOLDINGS PVT. LTD.,Not Ment.,05-02-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 391,KREST PVT. LTD.,Golden,05-02-2025,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 448,KREST STRIPS HOLDINGS CORPORATION,Golden,05-02-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 897,RADIANT IRON & STEEL LTD.,Not Ment.,05-02-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 888,OASIS FERRO ALLOYS GROUP ENTERPRISES,Not Ment.,05-02-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 893,MALHOTRA STEEL VENTURES ENTERPRISES,Golden,05-02-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 91,OASIS ALLOYS ENTERPRISES,Not Ment.,05-02-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 918,MALHOTRA PROFILES GROUP INDIA LTD.,Golden,05-05-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 919,IMPACT INFRASTRUCTURE CORPORATION,Not Ment.,05-05-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 364,SHRIRAM ISPAT LLP,Golden,05-07-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 88,MEHTA ROLLING MILLS HOLDINGS PVT. LTD.,Golden,05-08-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 78,NEXUS SPONGE IRON LTD.,Golden,05-08-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 356,SHARMA INDUSTRIES,Not Ment.,05-09-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 2,GALAXY INFRASTRUCTURE CORPORATION,Golden,05-10-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 920,ANCHOR INFRASTRUCTURE LTD.,Not Ment.,05-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,Inactive,No upcoming action,203,To be calculated
Comp - 898,GOEL ISPAT HOLDINGS ENTERPRISES,Golden,05-12-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 923,NEXUS SMELTERS ENTERPRISES,Golden,5/15/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 385,SIGMA PROFILES HOLDINGS CORPORATION,Golden,5/21/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 229,VECTOR STEEL LLP,Golden,5/21/2025 ,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 927,SHRIRAM METALIKS HOLDINGS LTD.,Not Ment.,5/22/2025 ,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 925,CORE FORGINGS GROUP INDIA LTD.,Golden,5/22/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 926,JINDAL PRODUCTS GROUP PVT. LTD.,Not Ment.,5/24/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 668,GUPTA ALLOYS INDIA LTD.,Not Ment.,5/24/2025 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,Inactive,No upcoming action,203,To be calculated
Comp - 849,MALHOTRA SMELTERS VENTURES CORPORATION,Golden,5/24/2025 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 894,CORE STRIPS PVT. LTD.,Not Ment.,5/27/2025 ,Sales Coord. 3,Sales Exec 3,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 917,MALHOTRA ROLLING MILLS PVT. LTD.,Not Ment.,5/27/2025 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,Inactive,No upcoming action,6,To be calculated
Comp - 730,CORE TUBES VENTURES PVT. LTD.,Not Ment.,5/28/2025 ,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 913,LUMINA STEEL VENTURES ENTERPRISES,Not Ment.,5/28/2025 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 442,ELECTRO CASTINGS PVT. LTD.,Not Ment.,5/29/2025 ,Not Assigned,Not Assigned,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 192,NATIONAL POWER & STEEL VENTURES CORPORATION,Not Ment.,5/30/2025 ,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
